Country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log
Aruba,ABW,92,0,105845,5.0246744,1.968483
Afghanistan,AFG,714,23,37172386,7.5702205,2.854306
Angola,AGO,19,2,30809762,7.4886885,1.30103
Albania,ALB,475,24,2866376,6.4573331,2.6776071
Andorra,AND,659,31,77006,4.8865304,2.8195438
United_Arab_Emirates,ARE,4933,28,9630959,6.9836698,3.6931992
Argentina,ARG,2432,105,44494502,7.6483064,3.386142
Armenia,ARM,1111,17,2951776,6.4700837,3.0461047
Antigua_and_Barbuda,ATG,23,2,96286,4.9835677,1.3802112
Australia,AUS,6416,61,24992369,7.3978076,3.807332
Austria,AUT,14234,384,8847037,6.9467978,4.1533575
Azerbaijan,AZE,1197,13,9942334,6.9974885,3.0784569
Burundi,BDI,5,1,11175378,7.0482621,.77815127
Belgium,BEL,31119,4157,11422068,7.057745,4.4930396
Benin,BEN,35,1,11485048,7.060133,1.5563025
Burkina_Faso,BFA,528,30,19751535,7.2956009,2.7234557
Bangladesh,BGD,1012,46,161356039,8.2077856,3.0056095
Bulgaria,BGR,713,35,7024216,6.8465981,2.8536983
Bahrain,BHR,1528,7,1569439,6.1957445,3.1844075
Bahamas,BHS,49,8,385640,5.5861831,1.69897
Bosnia_and_Herzegovina,BIH,1073,39,3323929,6.5216517,3.0310042
Belarus,BLR,3281,33,9485386,6.9770551,3.5161386
Belize,BLZ,18,2,383071,5.5832806,1.2787536
Bermuda,BMU,57,5,63968,4.8059697,1.763428
Bolivia,BOL,397,28,11353142,7.0551162,2.5998831
Brazil,BRA,25262,1532,209469333,8.3211203,4.4024849
Barbados,BRB,73,5,286641,5.4573398,1.8692317
Brunei_Darussalam,BRN,136,1,428962,5.6324201,2.1367207
Bhutan,BTN,5,0,754394,5.8775988,.77815127
Botswana,BWA,13,1,2254126,6.3529782,1.1461281
Central_African_Republic,CAF,11,0,4666377,6.6689801,1.0791812
Canada,CAN,27046,903,37058856,7.568892,4.4321189
Switzerland,CHE,25753,900,8516543,6.9302635,4.4108448
Chile,CHL,7917,92,18729160,7.2725182,3.8986156
China,CHN,83352,3346,1392730000,9.1438665,4.9209213
Cote_dIvoire,CIV,626,6,25069229,7.3991408,2.7972674
Cameroon,CMR,855,17,25216237,7.4016805,2.9324737
Democratic_Republic_of_the_Congo,COD,254,21,84068091,7.9246311,2.4065402
Congo,COG,74,5,5244363,6.7196927,1.8750613
Colombia,COL,2979,127,49648685,7.6959076,3.4742162
Cape_Verde,CPV,11,1,543767,5.7354136,1.0791812
Costa_Rica,CRI,618,3,4999441,6.6989217,2.7916906
Cuba,CUB,766,21,11338138,7.0545416,2.8847954
CuraÃÂ§ao,CUW,14,1,159849,5.2037125,1.1760913
Cayman_Islands,CYM,54,1,64174,4.8073659,1.7403626
Cyprus,CYP,695,17,1189265,6.0752792,2.8426092
Czechia,CZE,6141,161,10625695,7.0263572,3.7883098
Germany,DEU,127584,3254,82927922,7.9187007,5.1057997
Djibouti,DJI,363,2,958920,5.9817829,2.5611014
Dominica,DMA,16,0,71625,4.8550706,1.230449
Denmark,DNK,6511,299,5797446,6.763237,3.8137145
Dominican_Republic,DOM,3286,183,10627165,7.0264173,3.5167997
Algeria,DZA,2070,326,42228429,7.6256051,3.31618
Ecuador,ECU,7603,355,17084357,7.2325988,3.881042
Egypt,EGY,2350,178,98423595,7.9930992,3.3712525
Eritrea,ERI,35,0,,,1.5563025
Spain,ESP,172541,18056,46723749,7.6695375,5.2368946
Estonia,EST,1373,31,1320884,6.1208649,3.1379867
Ethiopia,ETH,82,3,109224559,8.0383205,1.9190781
Finland,FIN,3161,64,5518050,6.7417855,3.4999619
Fiji,FJI,16,0,883483,5.9461985,1.230449
France,FRA,103573,15729,66987244,7.8259921,5.0152507
Faroe_Islands,FRO,184,0,48497,4.6857238,2.2671716
Gabon,GAB,75,1,2119275,6.3261876,1.8808136
United_Kingdom,GBR,93873,12107,66488991,7.8227496,4.9725451
Georgia,GEO,300,3,3731000,6.5718255,2.4785664
Guernsey,GGY,223,7,63026,4.7995267,2.3502481
Ghana,GHA,636,8,29767108,7.4737368,2.8041394
Gibraltar,GIB,129,4,33718,4.5278745,2.1139433
Guinea,GIN,363,0,12414318,7.0939231,2.5611014
Gambia,GMB,9,1,2280102,6.3579545,1
Guinea_Bissau,GNB,40,0,1874309,6.2728415,1.6127839
Equatorial_Guinea,GNQ,41,0,1308974,6.1169314,1.6232493
Greece,GRC,2170,101,10727668,7.0305052,3.3366599
Grenada,GRD,14,0,111454,5.0470996,1.1760913
Greenland,GRL,11,0,56025,4.7483897,1.0791812
Guatemala,GTM,180,5,17247807,7.2367339,2.2576785
Guam,GUM,135,5,165768,5.2195034,2.133539
Guyana,GUY,48,6,779004,5.8915401,1.690196
Honduras,HND,419,31,9587522,6.9817066,2.6232493
Croatia,HRV,1704,31,4089400,6.6116595,3.2317245
Haiti,HTI,40,3,11123176,7.0462289,1.6127839
Hungary,HUN,1579,134,9768785,6.9898405,3.198657
Indonesia,IDN,4839,459,267663435,8.4275894,3.6848454
Isle_of_Man,IMN,242,2,84077,4.9246821,2.3856063
India,IND,11438,377,1352617328,9.131175,4.0583882
Ireland,IRL,11479,406,4853506,6.6860557,4.0599418
Iran,IRN,74877,4683,81800269,7.9127545,4.8743544
Iraq,IRQ,1400,78,38433600,7.5847111,3.1464381
Iceland,ISL,1720,8,353574,5.5484815,3.235781
Israel,ISR,12046,123,8883800,6.9485989,4.0808787
Italy,ITA,162488,21069,60431283,7.7812619,5.210824
Jamaica,JAM,105,5,2934855,6.467587,2.0253057
Jersey,JEY,217,4,106800,5.0285754,2.3384564
Jordan,JOR,397,7,9956011,6.9980855,2.5998831
Japan,JPN,8100,119,126529100,8.10219,3.9085386
Kazakhstan,KAZ,1267,14,18276499,7.2618928,3.1031191
Kenya,KEN,216,9,51393010,7.7109041,2.3364596
Kyrgyzstan,KGZ,449,5,6315800,6.8004284,2.6532125
Cambodia,KHM,122,0,16249798,7.2108479,2.089905
Saint_Kitts_and_Nevis,KNA,14,0,52441,4.7196794,1.1760913
South_Korea,KOR,10591,225,51635256,7.7129464,4.0249782
Kuwait,KWT,1355,3,4137309,6.6167183,3.1322596
Laos,LAO,19,0,7061507,6.8488975,1.30103
Lebanon,LBN,641,21,6848925,6.8356223,2.8075349
Liberia,LBR,59,6,4818977,6.6829548,1.7781513
Libya,LBY,35,1,6678567,6.8246832,1.5563025
Saint_Lucia,LCA,15,0,181889,5.259809,1.20412
Liechtenstein,LIE,81,1,37910,4.5787654,1.9138138
Sri_Lanka,LKA,233,7,21670000,7.3358588,2.369216
Lithuania,LTU,1070,24,2789533,6.4455318,3.0297894
Luxembourg,LUX,3307,67,607728,5.78371,3.5195656
Latvia,LVA,657,5,1926542,6.2847786,2.8182259
Morocco,MAR,1888,126,36029138,7.556654,3.276232
Monaco,MCO,93,2,38682,4.5875201,1.9731278
Moldova,MDA,1934,40,3545883,6.5497246,3.2866809
Madagascar,MDG,108,0,26262368,7.4193339,2.0374265
Maldives,MDV,21,0,515696,5.7123947,1.3424227
Mexico,MEX,5399,406,126190788,8.1010275,3.7323937
North_Macedonia,MKD,908,44,2082958,6.3186808,2.9585638
Mali,MLI,144,13,19077690,7.2805257,2.1613679
Malta,MLT,393,3,483530,5.6844244,2.5954962
Myanmar,MMR,74,4,53708395,7.730042,1.8750613
Montenegro,MNE,283,4,622345,5.7940321,2.4533184
Mongolia,MNG,30,0,3170208,6.5010877,1.4913617
Northern_Mariana_Islands,MNP,13,2,56882,4.7549825,1.1461281
Mozambique,MOZ,28,0,29495962,7.4697628,1.4623981
Mauritania,MRT,7,1,4403319,6.6437802,.90309
Montserrat,MSR,11,0,5900,3.7709255,1.0791812
Mauritius,MUS,324,9,1265303,6.1021948,2.5118833
Malawi,MWI,16,2,18143315,7.2587166,1.230449
Malaysia,MYS,4987,82,31528585,7.4987044,3.6979265
Cases_on_an_international_conveyance_Japan,N/A,696,7,3000,3.4772661,2.8432329
Namibia,NAM,16,0,2448255,6.3888569,1.230449
New_Caledonia,NCL,18,0,284060,5.4534116,1.2787536
Niger,NER,570,14,22442948,7.3510799,2.7566361
Nigeria,NGA,373,11,195874740,8.2919788,2.5728717
Nicaragua,NIC,12,1,6465513,6.8106031,1.1139433
Netherlands,NLD,27419,2945,17231017,7.236311,4.4380674
Norway,NOR,6566,127,5314336,6.7254491,3.8173671
Nepal,NPL,16,0,28087871,7.4485188,1.230449
New_Zealand,NZL,1078,9,4885500,6.6889091,3.0330215
Oman,OMN,910,4,4829483,6.6839008,2.9595184
Pakistan,PAK,5988,107,212215030,8.3267765,3.7773542
Panama,PAN,3574,95,4176873,6.6208515,3.5532761
Peru,PER,10303,230,31989256,7.5050039,4.0130057
Philippines,PHL,5223,335,106651922,8.0279684,3.7180033
Papua_New_Guinea,PNG,2,0,8606316,6.9348173,.47712126
Poland,POL,7202,263,37978548,7.5795383,3.8575134
Puerto_Rico,PRI,923,45,3195153,6.5044918,2.965672
Portugal,PRT,17448,567,10281762,7.0120678,4.2417707
Paraguay,PRY,161,8,6956071,6.8423638,2.2095151
Palestine,PSE,287,2,4569087,6.6598296,2.4593925
French_Polynesia,PYF,55,0,277679,5.4435444,1.748188
Qatar,QAT,3428,7,2781677,6.4443069,3.5351675
Romania,ROU,6879,344,19473936,7.289454,3.8375885
Russia,RUS,21102,170,144478050,8.1598015,4.3243442
Rwanda,RWA,134,0,12301939,7.0899734,2.1303337
Saudi_Arabia,SAU,5369,73,33699947,7.5276294,3.7299743
Sudan,SDN,32,5,41801533,7.6211925,1.5185139
Senegal,SEN,299,2,15854360,7.2001486,2.4771214
Singapore,SGP,3252,10,5638676,6.7511773,3.512284
Sierra_Leone,SLE,11,0,7650154,6.8836703,1.0791812
El_Salvador,SLV,159,6,6420744,6.8075852,2.2041199
San_Marino,SMR,372,36,33785,4.5287366,2.5717089
Somalia,SOM,60,2,15008154,7.1763272,1.7853298
Serbia,SRB,4054,84,6982084,6.8439851,3.6079907
South_Sudan,SSD,4,0,10975920,7.040441,.69897002
Sao_Tome_and_Principe,STP,4,0,211028,5.3243423,.69897002
Suriname,SUR,10,1,575991,5.7604165,1.0413927
Slovakia,SVK,835,2,5447011,6.7361584,2.9222062
Slovenia,SVN,1220,56,2067372,6.3154187,3.0867157
Sweden,SWE,11445,1033,10183175,7.0078831,4.0586538
Eswatini,SWZ,15,0,1367000,6.1357689,1.20412
Sint_Maarten,SXM,52,9,41486,4.6179118,1.7242758
Seychelles,SYC,11,0,96762,4.9857092,1.0791812
Syria,SYR,29,2,16906283,7.2280483,1.4771212
Turks_and_Caicos_islands,TCA,10,1,31458,4.497745,1.0413927
Chad,TCD,23,0,15477751,7.1897078,1.3802112
Togo,TGO,77,3,7889094,6.897027,1.8920946
Thailand,THA,2643,43,69428524,7.841538,3.4222615
Timor_Leste,TLS,6,0,1267972,6.1031098,.84509802
Trinidad_and_Tobago,TTO,113,8,1389858,6.1429706,2.0569048
Tunisia,TUN,747,34,11565204,7.0631533,2.8739016
Turkey,TUR,65111,1403,82319724,7.915504,4.8136611
Taiwan,TWN,395,6,23780452,7.3762202,2.5976951
United_Republic_of_Tanzania,TZA,53,3,56318348,7.7506499,1.7323937
Uganda,UGA,55,0,42723139,7.6306634,1.748188
Ukraine,UKR,3372,98,44622516,7.6495543,3.5280163
Uruguay,URY,533,8,3449299,6.5377312,2.7275412
United_States_of_America,USA,609516,26057,327167434,8.5147705,5.784986
Uzbekistan,UZB,1165,4,32955400,7.5179267,3.0666986
Holy_See,VAT,8,0,1000,3.0004342,.95424253
Saint_Vincent_and_the_Grenadines,VCT,12,0,110210,5.0422249,1.1139433
Venezuela,VEN,193,9,28870195,7.4604497,2.2878017
British_Virgin_Islands,VGB,3,0,29802,4.4742599,.60206002
United_States_Virgin_Islands,VIR,51,1,106977,5.0292945,1.7160033
Vietnam,VNM,274,0,95540395,7.9801869,2.4393327
Kosovo,XKX,387,8,1845300,6.266067,2.5888317
Yemen,YEM,1,0,28498687,7.4548249,.30103001
South_Africa,ZAF,2415,27,57779622,7.7617745,3.3830969
Zambia,ZMB,45,2,17351822,7.2393451,1.6627579
Zimbabwe,ZWE,17,3,14439018,7.1595378,1.2552725
